Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-01-01 00:00:00+00:00,93614.7421875,94256.0546875,93312.703125,93396.03125,27361280
2025-01-01 04:00:00+00:00,93509.3203125,93665.9140625,93356.2421875,93632.890625,0
2025-01-01 08:00:00+00:00,93267.125,93547.2734375,92849.7265625,93491.0,266563584
2025-01-01 12:00:00+00:00,94211.0625,94225.3203125,93230.3046875,93265.0078125,0
2025-01-01 16:00:00+00:00,94427.8828125,94588.5234375,93603.5625,94212.1875,0
2025-01-01 20:00:00+00:00,94443.5234375,94924.4296875,94395.4921875,94426.140625,234895360
2025-01-02 00:00:00+00:00,94851.8125,95289.4765625,94282.609375,94390.2734375,2865977344
2025-01-02 04:00:00+00:00,95696.8125,95824.390625,94841.3828125,94841.3828125,2844340224
2025-01-02 08:00:00+00:00,96619.8828125,96741.953125,95525.96875,95693.1171875,2825510912
2025-01-02 12:00:00+00:00,96414.7265625,96788.125,96163.1875,96624.1953125,6803892224
2025-01-02 16:00:00+00:00,97246.359375,97624.875,96083.0234375,96379.828125,6006525952
2025-01-02 20:00:00+00:00,96876.2421875,97721.2265625,96660.859375,97223.734375,684269568
2025-01-03 00:00:00+00:00,96948.3515625,97193.296875,96573.2265625,96890.0078125,0
2025-01-03 04:00:00+00:00,96270.5703125,96971.703125,96247.84375,96971.703125,154279936
2025-01-03 08:00:00+00:00,96720.28125,96736.3671875,96042.515625,96253.109375,0
2025-01-03 12:00:00+00:00,97528.328125,97528.328125,96429.7109375,96688.0703125,0
2025-01-03 16:00:00+00:00,98535.625,98917.234375,97381.0703125,97465.0859375,289013760
2025-01-03 20:00:00+00:00,98101.703125,98727.5703125,98047.40625,98571.3359375,196816896
2025-01-04 00:00:00+00:00,98197.2578125,98265.53125,97812.8671875,98167.5703125,902184960
2025-01-04 04:00:00+00:00,98209.8671875,98274.1640625,97858.0078125,98143.5078125,0
2025-01-04 08:00:00+00:00,97864.296875,98247.875,97606.8515625,98222.953125,0
2025-01-04 12:00:00+00:00,97659.484375,98129.1015625,97587.78125,97852.328125,0
2025-01-04 16:00:00+00:00,98186.703125,98322.453125,97582.9453125,97653.953125,0
2025-01-04 20:00:00+00:00,98256.7578125,98725.25,98161.5703125,98161.5703125,0
2025-01-05 00:00:00+00:00,98134.3046875,98333.8203125,98028.421875,98211.265625,0
2025-01-05 04:00:00+00:00,98270.0625,98475.875,98143.984375,98143.984375,0
