Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2025-01-01 00:00:00+00:00,3347.579833984375,3358.0400390625,3330.58740234375,3331.27978515625,21960704
2025-01-01 04:00:00+00:00,3338.846435546875,3347.94482421875,3331.2431640625,3347.52197265625,0
2025-01-01 08:00:00+00:00,3334.746826171875,3340.099609375,3311.18505859375,3339.328369140625,326774784
2025-01-01 12:00:00+00:00,3345.24755859375,3350.65771484375,3322.819091796875,3334.4794921875,0
2025-01-01 16:00:00+00:00,3347.195068359375,3355.212646484375,3319.3408203125,3345.30322265625,223577088
2025-01-01 20:00:00+00:00,3353.4716796875,3365.031005859375,3345.711181640625,3348.18408203125,2574336
2025-01-02 00:00:00+00:00,3383.54931640625,3398.066162109375,3349.072021484375,3353.175048828125,1806848000
2025-01-02 04:00:00+00:00,3415.62451171875,3419.69580078125,3382.433837890625,3383.533447265625,1227364352
2025-01-02 08:00:00+00:00,3467.30322265625,3470.457763671875,3410.082275390625,3415.417724609375,1102379008
2025-01-02 12:00:00+00:00,3459.760498046875,3479.24365234375,3455.035888671875,3467.319580078125,3018582016
2025-01-02 16:00:00+00:00,3460.39892578125,3485.16552734375,3431.85107421875,3459.56884765625,1287043072
2025-01-02 20:00:00+00:00,3450.828125,3470.82958984375,3424.624755859375,3459.941650390625,3454976
2025-01-03 00:00:00+00:00,3468.049072265625,3471.77978515625,3441.60107421875,3451.750244140625,20840448
2025-01-03 04:00:00+00:00,3430.68701171875,3467.00634765625,3429.596923828125,3467.00634765625,62873600
2025-01-03 08:00:00+00:00,3463.0771484375,3464.298828125,3422.06591796875,3430.76416015625,0
2025-01-03 12:00:00+00:00,3565.84033203125,3568.672607421875,3460.08447265625,3463.17822265625,927553536
2025-01-03 16:00:00+00:00,3620.1787109375,3626.73095703125,3563.44482421875,3563.44482421875,1671792640
2025-01-03 20:00:00+00:00,3605.182373046875,3621.7763671875,3596.54052734375,3621.7763671875,405729280
2025-01-04 00:00:00+00:00,3595.923583984375,3616.675537109375,3583.624267578125,3608.524169921875,156545024
2025-01-04 04:00:00+00:00,3592.97216796875,3608.193603515625,3583.581298828125,3594.50048828125,114788352
2025-01-04 08:00:00+00:00,3600.89501953125,3602.069091796875,3575.0029296875,3593.696044921875,40124416
2025-01-04 12:00:00+00:00,3608.6572265625,3655.137939453125,3596.791748046875,3601.10693359375,518914048
2025-01-04 16:00:00+00:00,3630.9248046875,3641.4501953125,3603.07080078125,3608.789794921875,0
2025-01-04 20:00:00+00:00,3659.708251953125,3668.677978515625,3630.5888671875,3630.5888671875,0
2025-01-05 00:00:00+00:00,3635.615234375,3673.368408203125,3631.948486328125,3657.2490234375,20237312
2025-01-05 04:00:00+00:00,3630.83740234375,3647.86474609375,3630.20263671875,3636.12646484375,0
2025-01-05 08:00:00+00:00,3611.80615234375,3631.612548828125,3604.018798828125,3631.1962890625,190563328
2025-01-05 12:00:00+00:00,3630.20751953125,3634.174560546875,3594.616943359375,3611.750732421875,305164288
2025-01-05 16:00:00+00:00,3634.136474609375,3645.119873046875,3614.33837890625,3630.061279296875,4310016
2025-01-05 20:00:00+00:00,3633.7705078125,3653.049560546875,3631.314208984375,3637.601318359375,34018304
2025-01-06 00:00:00+00:00,3662.72412109375,3680.959716796875,3612.356689453125,3639.167724609375,1975650304
2025-01-06 04:00:00+00:00,3649.140869140625,3694.365966796875,3644.55615234375,3666.3837890625,1416837120
2025-01-06 08:00:00+00:00,3653.240234375,3658.586181640625,3634.2099609375,3649.60205078125,523774976
2025-01-06 12:00:00+00:00,3707.769775390625,3708.497314453125,3623.227783203125,3653.869873046875,3750291456
2025-01-06 16:00:00+00:00,3690.247314453125,3742.588134765625,3661.097900390625,3712.3720703125,2824261632
2025-01-06 20:00:00+00:00,3688.8330078125,3702.60400390625,3669.828857421875,3688.60205078125,736610304
2025-01-07 00:00:00+00:00,3684.73095703125,3701.10693359375,3667.495361328125,3684.3203125,208963584
2025-01-07 04:00:00+00:00,3667.533935546875,3686.572509765625,3661.92529296875,3685.91796875,0
2025-01-07 08:00:00+00:00,3640.8203125,3677.904296875,3628.718017578125,3667.92724609375,145862656
2025-01-07 12:00:00+00:00,3466.645263671875,3644.5341796875,3444.32421875,3638.026123046875,5290801152
2025-01-07 16:00:00+00:00,3384.372314453125,3486.65673828125,3380.063232421875,3463.247314453125,3259015168
